County,Region,Cases,Confirmed,Probable,PersonsWithNegativePCR
ADAMS,SC,799,772,27,14978
ALLEGHENY,SW,11821,11358,463,166601
ARMSTRONG,SW,421,413,8,6451
BEAVER,SW,1839,1785,54,18878
BEDFORD,SC,231,199,32,4293
BERKS,SE,6903,6718,185,47611
BLAIR,SC,599,577,22,16084
BRADFORD,NC,130,120,10,7079
BUCKS,SE,8590,7971,619,91203
BUTLER,SW,1018,922,96,20921
CAMBRIA,SW,549,485,64,22304
CAMERON,NW,8,8,0,433
CARBON,NE,452,448,4,8868
CENTRE,NC,2031,1969,62,23810
CHESTER,SE,6622,6362,260,77542
CLARION,NW,116,102,14,3059
CLEARFIELD,NW,311,258,53,6965
CLINTON,NC,199,181,18,4126
COLUMBIA,NC,866,828,38,7320
CRAWFORD,NW,293,251,42,8116
CUMBERLAND,SC,1775,1674,101,28331
DAUPHIN,SC,3714,3618,96,41983
DELAWARE,SE,11193,10916,277,102133
ELK,NW,68,53,15,2384
ERIE,NW,1491,1275,216,26491
FAYETTE,SW,775,741,34,14692
FOREST,NW,15,12,3,748
FRANKLIN,SC,1738,1666,72,19736
FULTON,SC,44,41,3,1175
GREENE,SW,179,162,17,4065
HUNTINGDON,SC,399,388,11,5707
INDIANA,SW,653,574,79,8640
JEFFERSON,NW,109,81,28,3250
JUNIATA,SC,182,174,8,2157
LACKAWANNA,NE,2410,2341,69,30062
LANCASTER,SE,7607,7441,166,74399
LAWRENCE,NW,501,434,67,7396
LEBANON,SC,1959,1886,73,18635
LEHIGH,NE,5505,5428,77,56566
LUZERNE,NE,4039,3929,110,43869
LYCOMING,NC,633,596,37,12610
MCKEAN,NW,57,45,12,4200
MERCER,NW,703,626,77,11219
MIFFLIN,SC,215,206,9,6257
MONROE,NE,1779,1734,45,21877
MONTGOMERY,SE,11992,11962,30,139931
MONTOUR,NC,164,142,22,7662
NORTHAMPTON,NE,4403,4257,146,52137
NORTHUMBERLAND,NC,900,834,66,11117
PERRY,SC,207,186,21,3803
PHILADELPHIA,SE,31108,31100,8,263969
PIKE,NE,570,545,25,6208
POTTER,NC,26,23,3,1072
SCHUYLKILL,SE,1068,1033,35,18016
SNYDER,NC,272,220,52,3265
SOMERSET,SW,206,175,31,9833
SULLIVAN,NC,11,6,5,446
SUSQUEHANNA,NE,293,284,9,4165
TIOGA,NC,64,51,13,3222
UNION,NC,462,437,25,9877
VENANGO,NW,83,66,17,4567
WARREN,NW,42,32,10,3324
WASHINGTON,SW,1292,1224,68,24170
WAYNE,NE,220,210,10,5878
WESTMORELAND,SW,2096,2011,85,41144
WYOMING,NE,72,69,3,2663
YORK,SC,4554,4435,119,56223
