County,Region,Cases,Confirmed,Probable,PersonsWithNegativePCR
ADAMS,SC,766,742,24,14579
ALLEGHENY,SW,11578,11133,445,163132
ARMSTRONG,SW,404,399,5,6308
BEAVER,SW,1820,1766,54,18550
BEDFORD,SC,223,191,32,4195
BERKS,SE,6773,6592,181,46303
BLAIR,SC,548,525,23,15630
BRADFORD,NC,119,109,10,6858
BUCKS,SE,8449,7835,614,89058
BUTLER,SW,976,886,90,20546
CAMBRIA,SW,537,474,63,21864
CAMERON,NW,8,8,0,418
CARBON,NE,443,439,4,8708
CENTRE,NC,1630,1572,58,22229
CHESTER,SE,6471,6210,261,75154
CLARION,NW,113,99,14,2987
CLEARFIELD,NW,295,243,52,6700
CLINTON,NC,185,168,17,3904
COLUMBIA,NC,853,817,36,7208
CRAWFORD,NW,287,250,37,7891
CUMBERLAND,SC,1739,1636,103,27425
DAUPHIN,SC,3662,3568,94,40960
DELAWARE,SE,11075,10800,275,99550
ELK,NW,67,51,16,2326
ERIE,NW,1459,1246,213,25863
FAYETTE,SW,763,730,33,14365
FOREST,NW,14,11,3,724
FRANKLIN,SC,1701,1632,69,19047
FULTON,SC,43,40,3,1131
GREENE,SW,166,152,14,3954
HUNTINGDON,SC,393,382,11,5431
INDIANA,SW,605,546,59,8347
JEFFERSON,NW,106,78,28,3188
JUNIATA,SC,173,165,8,2104
LACKAWANNA,NE,2359,2290,69,29222
LANCASTER,SE,7478,7315,163,72176
LAWRENCE,NW,495,429,66,7238
LEBANON,SC,1909,1837,72,18104
LEHIGH,NE,5464,5388,76,55459
LUZERNE,NE,4000,3894,106,42694
LYCOMING,NC,617,580,37,12297
MCKEAN,NW,53,41,12,4109
MERCER,NW,684,607,77,10940
MIFFLIN,SC,208,200,8,6098
MONROE,NE,1771,1726,45,21483
MONTGOMERY,SE,11855,11830,25,135741
MONTOUR,NC,162,140,22,7619
NORTHAMPTON,NE,4349,4203,146,51179
NORTHUMBERLAND,NC,848,785,63,10828
PERRY,SC,201,180,21,3726
PHILADELPHIA,SE,30783,30775,8,257712
PIKE,NE,564,539,25,6048
POTTER,NC,25,22,3,1052
SCHUYLKILL,SE,1054,1018,36,17634
SNYDER,NC,252,204,48,3176
SOMERSET,SW,201,170,31,9648
SULLIVAN,NC,11,6,5,431
SUSQUEHANNA,NE,293,284,9,4079
TIOGA,NC,56,47,9,3031
UNION,NC,451,427,24,9637
VENANGO,NW,80,63,17,4393
WARREN,NW,42,32,10,3274
WASHINGTON,SW,1268,1201,67,23596
WAYNE,NE,211,201,10,5748
WESTMORELAND,SW,2032,1952,80,40423
WYOMING,NE,72,69,3,2618
YORK,SC,4391,4278,113,54755
