County,Region,Cases,Confirmed,Probable,PersonsWithNegativePCR
ADAMS,SC,782,757,25,14740
ALLEGHENY,SW,11663,11202,461,163940
ARMSTRONG,SW,410,405,5,6349
BEAVER,SW,1834,1780,54,18666
BEDFORD,SC,224,193,31,4215
BERKS,SE,6801,6619,182,46642
BLAIR,SC,559,535,24,15727
BRADFORD,NC,120,110,10,6916
BUCKS,SE,8499,7883,616,89741
BUTLER,SW,983,890,93,20627
CAMBRIA,SW,540,476,64,21971
CAMERON,NW,8,8,0,421
CARBON,NE,444,440,4,8743
CENTRE,NC,1727,1667,60,22520
CHESTER,SE,6526,6263,263,75969
CLARION,NW,115,102,13,3013
CLEARFIELD,NW,297,245,52,6755
CLINTON,NC,186,169,17,3932
COLUMBIA,NC,859,822,37,7243
CRAWFORD,NW,288,250,38,7921
CUMBERLAND,SC,1752,1648,104,27831
DAUPHIN,SC,3684,3589,95,41257
DELAWARE,SE,11104,10832,272,100194
ELK,NW,67,51,16,2332
ERIE,NW,1466,1253,213,26028
FAYETTE,SW,766,733,33,14444
FOREST,NW,14,11,3,733
FRANKLIN,SC,1710,1640,70,19274
FULTON,SC,44,41,3,1142
GREENE,SW,168,154,14,3972
HUNTINGDON,SC,395,384,11,5549
INDIANA,SW,611,549,62,8411
JEFFERSON,NW,107,79,28,3203
JUNIATA,SC,178,169,9,2117
LACKAWANNA,NE,2375,2307,68,29575
LANCASTER,SE,7514,7350,164,72751
LAWRENCE,NW,499,432,67,7280
LEBANON,SC,1931,1859,72,18270
LEHIGH,NE,5469,5393,76,55751
LUZERNE,NE,4013,3903,110,42969
LYCOMING,NC,623,585,38,12409
MCKEAN,NW,53,41,12,4136
MERCER,NW,688,611,77,11039
MIFFLIN,SC,209,201,8,6152
MONROE,NE,1772,1727,45,21572
MONTGOMERY,SE,11897,11867,30,137711
MONTOUR,NC,162,140,22,7639
NORTHAMPTON,NE,4364,4216,148,51436
NORTHUMBERLAND,NC,861,796,65,10903
PERRY,SC,204,183,21,3750
PHILADELPHIA,SE,31176,31168,8,259461
PIKE,NE,565,540,25,6086
POTTER,NC,25,22,3,1055
SCHUYLKILL,SE,1058,1022,36,17757
SNYDER,NC,255,209,46,3201
SOMERSET,SW,203,172,31,9704
SULLIVAN,NC,11,6,5,435
SUSQUEHANNA,NE,293,284,9,4101
TIOGA,NC,61,48,13,3065
UNION,NC,451,427,24,9701
VENANGO,NW,80,63,17,4513
WARREN,NW,42,32,10,3286
WASHINGTON,SW,1275,1207,68,23722
WAYNE,NE,214,204,10,5781
WESTMORELAND,SW,2046,1965,81,40624
WYOMING,NE,72,69,3,2625
YORK,SC,4453,4337,116,55282
