County,Region,Cases,Confirmed,Probable,PersonsWithNegativePCR
ADAMS,SC,568,551,17,10104
ALLEGHENY,SW,9903,9598,305,138585
ARMSTRONG,SW,282,281,1,5007
BEAVER,SW,1501,1459,42,15583
BEDFORD,SC,161,144,17,3445
BERKS,SE,5814,5641,173,37410
BLAIR,SC,403,385,18,12922
BRADFORD,NC,95,88,7,6076
BUCKS,SE,7580,6978,602,73671
BUTLER,SW,746,686,60,16900
CAMBRIA,SW,428,390,38,18718
CAMERON,NW,8,8,0,375
CARBON,NE,414,410,4,7655
CENTRE,NC,417,371,46,11594
CHESTER,SE,5439,5208,231,60315
CLARION,NW,95,86,9,2586
CLEARFIELD,NW,209,165,44,5028
CLINTON,NC,130,115,15,3064
COLUMBIA,NC,521,490,31,5915
CRAWFORD,NW,186,161,25,5856
CUMBERLAND,SC,1445,1362,83,22190
DAUPHIN,SC,3122,3044,78,32784
DELAWARE,SE,10045,9785,260,80981
ELK,NW,64,49,15,2062
ERIE,NW,1296,1112,184,21709
FAYETTE,SW,658,635,23,11777
FOREST,NW,13,10,3,586
FRANKLIN,SC,1469,1406,63,15415
FULTON,SC,31,29,2,916
GREENE,SW,134,123,11,3370
HUNTINGDON,SC,351,341,10,3576
INDIANA,SW,399,378,21,7153
JEFFERSON,NW,93,68,25,2727
JUNIATA,SC,143,136,7,1696
LACKAWANNA,NE,1995,1934,61,22413
LANCASTER,SE,6465,6337,128,59280
LAWRENCE,NW,441,386,55,6353
LEBANON,SC,1672,1601,71,14849
LEHIGH,NE,5128,5060,68,47077
LUZERNE,NE,3690,3597,93,36438
LYCOMING,NC,479,452,27,10191
MCKEAN,NW,35,26,9,3637
MERCER,NW,526,461,65,9472
MIFFLIN,SC,138,133,5,5038
MONROE,NE,1690,1647,43,18724
MONTGOMERY,SE,10713,10697,16,112224
MONTOUR,NC,123,107,16,7135
NORTHAMPTON,NE,4059,3936,123,43585
NORTHUMBERLAND,NC,625,578,47,8130
PERRY,SC,160,145,15,3085
PHILADELPHIA,SE,28305,28297,8,210883
PIKE,NE,533,508,25,5230
POTTER,NC,24,21,3,934
SCHUYLKILL,SE,971,938,33,14726
SNYDER,NC,140,120,20,2491
SOMERSET,SW,156,140,16,7710
SULLIVAN,NC,10,5,5,360
SUSQUEHANNA,NE,246,239,7,3445
TIOGA,NC,46,36,10,2536
UNION,NC,359,342,17,8202
VENANGO,NW,69,54,15,3921
WARREN,NW,26,20,6,2589
WASHINGTON,SW,976,932,44,19380
WAYNE,NE,170,163,7,4795
WESTMORELAND,SW,1731,1679,52,35587
WYOMING,NE,65,62,3,2175
YORK,SC,3119,3061,58,43626
TOTAL,,12904,125407,3641,1423972
