County,Region,Cases,Confirmed,Probable,PersonsWithNegativePCR
ADAMS,SC,810,783,27,15151
ALLEGHENY,SW,11867,11375,492,167308
ARMSTRONG,SW,424,416,8,6480
BEAVER,SW,1845,1792,53,19066
BEDFORD,SC,235,204,31,4336
BERKS,SE,6939,6754,185,47951
BLAIR,SC,609,587,22,16257
BRADFORD,NC,132,121,11,7143
BUCKS,SE,8626,8003,623,91973
BUTLER,SW,1024,926,98,21125
CAMBRIA,SW,553,486,67,22452
CAMERON,NW,8,8,0,434
CARBON,NE,455,451,4,8915
CENTRE,NC,2078,2013,65,24018
CHESTER,SE,6659,6399,260,78167
CLARION,NW,116,102,14,3080
CLEARFIELD,NW,313,260,53,6995
CLINTON,NC,200,182,18,4134
COLUMBIA,NC,873,835,38,7354
CRAWFORD,NW,298,253,45,8189
CUMBERLAND,SC,1783,1682,101,28584
DAUPHIN,SC,3735,3638,97,42471
DELAWARE,SE,11233,10956,277,102987
ELK,NW,69,54,15,2394
ERIE,NW,1504,1284,220,26577
FAYETTE,SW,778,744,34,14755
FOREST,NW,15,12,3,754
FRANKLIN,SC,1747,1675,72,19911
FULTON,SC,45,42,3,1182
GREENE,SW,181,164,17,4071
HUNTINGDON,SC,399,388,11,5890
INDIANA,SW,668,587,81,8699
JEFFERSON,NW,109,81,28,3265
JUNIATA,SC,183,174,9,2171
LACKAWANNA,NE,2417,2347,70,30199
LANCASTER,SE,7700,7534,166,75161
LAWRENCE,NW,505,438,67,7426
LEBANON,SC,1971,1898,73,18837
LEHIGH,NE,5530,5452,78,56929
LUZERNE,NE,4050,3937,113,44110
LYCOMING,NC,641,604,37,12745
MCKEAN,NW,57,45,12,4206
MERCER,NW,705,629,76,11260
MIFFLIN,SC,218,209,9,6286
MONROE,NE,1780,1735,45,21991
MONTGOMERY,SE,12028,11999,29,140794
MONTOUR,NC,164,142,22,7701
NORTHAMPTON,NE,4421,4273,148,52439
NORTHUMBERLAND,NC,919,851,68,11152
PERRY,SC,212,191,21,3861
PHILADELPHIA,SE,31254,31245,9,265710
PIKE,NE,571,546,25,6233
POTTER,NC,26,23,3,1095
SCHUYLKILL,SE,1076,1041,35,18123
SNYDER,NC,283,230,53,3286
SOMERSET,SW,211,180,31,9912
SULLIVAN,NC,11,6,5,449
SUSQUEHANNA,NE,293,284,9,4190
TIOGA,NC,65,52,13,3250
UNION,NC,453,428,25,9897
VENANGO,NW,83,66,17,4612
WARREN,NW,42,32,10,3342
WASHINGTON,SW,1310,1226,84,24263
WAYNE,NE,222,212,10,5923
WESTMORELAND,SW,2135,2021,114,41260
WYOMING,NE,72,69,3,2680
YORK,SC,4606,4486,120,56851
