County,Region,Cases,Confirmed,Probable,PersonsWithNegativePCR
ADAMS,SC,723,703,20,13916
ALLEGHENY,SW,11069,10692,377,156601
ARMSTRONG,SW,378,374,4,6007
BEAVER,SW,1757,1705,52,17812
BEDFORD,SC,199,171,28,3956
BERKS,SE,6442,6263,179,43886
BLAIR,SC,511,491,20,14710
BRADFORD,NC,103,96,7,6641
BUCKS,SE,8198,7593,605,84771
BUTLER,SW,923,841,82,19873
CAMBRIA,SW,515,457,58,21070
CAMERON,NW,8,8,0,406
CARBON,NE,436,432,4,8417
CENTRE,NC,1062,1012,50,19699
CHESTER,SE,6149,5898,251,71424
CLARION,NW,107,96,11,2824
CLEARFIELD,NW,270,218,52,6234
CLINTON,NC,166,149,17,3744
COLUMBIA,NC,831,796,35,6849
CRAWFORD,NW,245,214,31,7581
CUMBERLAND,SC,1649,1562,87,25687
DAUPHIN,SC,3543,3450,93,38635
DELAWARE,SE,10811,10543,268,94812
ELK,NW,65,50,15,2252
ERIE,NW,1411,1207,204,24818
FAYETTE,SW,733,701,32,13296
FOREST,NW,14,11,3,673
FRANKLIN,SC,1633,1564,69,17990
FULTON,SC,39,37,2,1068
GREENE,SW,156,143,13,3753
HUNTINGDON,SC,392,380,12,4944
INDIANA,SW,505,472,33,7982
JEFFERSON,NW,101,75,26,3050
JUNIATA,SC,161,153,8,2000
LACKAWANNA,NE,2262,2194,68,27439
LANCASTER,SE,7238,7087,151,68683
LAWRENCE,NW,480,416,64,7022
LEBANON,SC,1807,1736,71,17198
LEHIGH,NE,5348,5274,74,53281
LUZERNE,NE,3926,3827,99,40903
LYCOMING,NC,582,546,36,11625
MCKEAN,NW,44,33,11,3946
MERCER,NW,619,546,73,10528
MIFFLIN,SC,185,177,8,5799
MONROE,NE,1753,1708,45,20757
MONTGOMERY,SE,11537,11516,21,129532
MONTOUR,NC,158,137,21,7470
NORTHAMPTON,NE,4210,4078,132,49165
NORTHUMBERLAND,NC,784,727,57,10134
PERRY,SC,184,166,18,3551
PHILADELPHIA,SE,30206,30198,8,246105
PIKE,NE,553,528,25,5766
POTTER,NC,25,22,3,1014
SCHUYLKILL,SE,1026,992,34,16908
SNYDER,NC,197,169,28,2983
SOMERSET,SW,192,165,27,9124
SULLIVAN,NC,10,5,5,417
SUSQUEHANNA,NE,284,275,9,3920
TIOGA,NC,50,41,9,2878
UNION,NC,420,400,20,9136
VENANGO,NW,74,57,17,4250
WARREN,NW,40,31,9,3156
WASHINGTON,SW,1177,1117,60,22654
WAYNE,NE,198,189,9,5477
WESTMORELAND,SW,1945,1877,68,39239
WYOMING,NE,71,68,3,2514
YORK,SC,3995,3900,95,52073
