County,Region,Cases,Confirmed,Probable,PersonsWithNegativePCR
ADAMS,SC,788,763,25,14849
ALLEGHENY,SW,11737,11278,459,165314
ARMSTRONG,SW,411,406,5,6397
BEAVER,SW,1836,1782,54,18757
BEDFORD,SC,228,197,31,4271
BERKS,SE,6833,6649,184,47076
BLAIR,SC,584,562,22,15936
BRADFORD,NC,121,111,10,6981
BUCKS,SE,8537,7921,616,90249
BUTLER,SW,996,904,92,20758
CAMBRIA,SW,547,483,64,22108
CAMERON,NW,8,8,0,423
CARBON,NE,447,443,4,8790
CENTRE,NC,1799,1739,60,22906
CHESTER,SE,6567,6307,260,76499
CLARION,NW,114,101,13,3036
CLEARFIELD,NW,308,255,53,6827
CLINTON,NC,190,173,17,4041
COLUMBIA,NC,860,823,37,7285
CRAWFORD,NW,291,251,40,7951
CUMBERLAND,SC,1760,1660,100,28021
DAUPHIN,SC,3695,3600,95,41502
DELAWARE,SE,11125,10852,273,100719
ELK,NW,67,51,16,2339
ERIE,NW,1475,1261,214,26160
FAYETTE,SW,770,737,33,14550
FOREST,NW,14,11,3,734
FRANKLIN,SC,1714,1644,70,19437
FULTON,SC,44,41,3,1150
GREENE,SW,169,155,14,3991
HUNTINGDON,SC,396,385,11,5655
INDIANA,SW,632,563,69,8500
JEFFERSON,NW,109,81,28,3219
JUNIATA,SC,181,173,8,2137
LACKAWANNA,NE,2396,2326,70,29825
LANCASTER,SE,7549,7385,164,73489
LAWRENCE,NW,499,432,67,7338
LEBANON,SC,1935,1863,72,18407
LEHIGH,NE,5484,5408,76,56084
LUZERNE,NE,4024,3914,110,43471
LYCOMING,NC,627,589,38,12467
MCKEAN,NW,55,43,12,4154
MERCER,NW,695,618,77,11123
MIFFLIN,SC,210,201,9,6193
MONROE,NE,1773,1728,45,21684
MONTGOMERY,SE,11932,11902,30,138393
MONTOUR,NC,164,142,22,7657
NORTHAMPTON,NE,4390,4243,147,51726
NORTHUMBERLAND,NC,863,798,65,10979
PERRY,SC,205,184,21,3769
PHILADELPHIA,SE,31237,31229,8,260906
PIKE,NE,566,541,25,6112
POTTER,NC,25,22,3,1060
SCHUYLKILL,SE,1061,1025,36,17854
SNYDER,NC,261,210,51,3227
SOMERSET,SW,205,174,31,9754
SULLIVAN,NC,11,6,5,441
SUSQUEHANNA,NE,293,284,9,4128
TIOGA,NC,64,51,13,3097
UNION,NC,452,427,25,9795
VENANGO,NW,81,64,17,4526
WARREN,NW,42,32,10,3290
WASHINGTON,SW,1280,1213,67,23930
WAYNE,NE,216,206,10,5802
WESTMORELAND,SW,2068,1984,84,40814
WYOMING,NE,72,69,3,2645
YORK,SC,4490,4374,116,55624
