County,Region,Cases,Confirmed,Probable,PersonsWithNegativePCR
ADAMS,SC,737,716,21,14153
ALLEGHENY,SW,11213,10809,404,158292
ARMSTRONG,SW,382,378,4,6087
BEAVER,SW,1772,1720,52,18046
BEDFORD,SC,211,183,28,4020
BERKS,SE,6544,6367,177,44571
BLAIR,SC,527,505,22,14996
BRADFORD,NC,108,98,10,6694
BUCKS,SE,8257,7649,608,85927
BUTLER,SW,932,850,82,20028
CAMBRIA,SW,522,464,58,21351
CAMERON,NW,8,8,0,408
CARBON,NE,436,432,4,8499
CENTRE,NC,1175,1123,52,20190
CHESTER,SE,6217,5962,255,72363
CLARION,NW,111,99,12,2882
CLEARFIELD,NW,281,229,52,6369
CLINTON,NC,170,153,17,3782
COLUMBIA,NC,841,805,36,6968
CRAWFORD,NW,251,219,32,7695
CUMBERLAND,SC,1673,1585,88,26104
DAUPHIN,SC,3568,3476,92,39227
DELAWARE,SE,10888,10620,268,95928
ELK,NW,66,51,15,2276
ERIE,NW,1422,1216,206,25036
FAYETTE,SW,743,710,33,13721
FOREST,NW,14,11,3,682
FRANKLIN,SC,1650,1581,69,18323
FULTON,SC,40,38,2,1079
GREENE,SW,159,144,15,3820
HUNTINGDON,SC,392,381,11,5133
INDIANA,SW,525,491,34,8081
JEFFERSON,NW,101,75,26,3098
JUNIATA,SC,166,158,8,2021
LACKAWANNA,NE,2313,2244,69,28321
LANCASTER,SE,7307,7154,153,69559
LAWRENCE,NW,483,419,64,7082
LEBANON,SC,1824,1753,71,17443
LEHIGH,NE,5382,5307,75,53866
LUZERNE,NE,3943,3841,102,41455
LYCOMING,NC,586,550,36,11825
MCKEAN,NW,48,36,12,3981
MERCER,NW,656,582,74,10628
MIFFLIN,SC,192,185,7,5890
MONROE,NE,1757,1712,45,20933
MONTGOMERY,SE,11597,11576,21,131420
MONTOUR,NC,160,139,21,7515
NORTHAMPTON,NE,4238,4104,134,49745
NORTHUMBERLAND,NC,802,744,58,10394
PERRY,SC,187,169,18,3590
PHILADELPHIA,SE,30353,30345,8,249143
PIKE,NE,554,529,25,5854
POTTER,NC,25,22,3,1022
SCHUYLKILL,SE,1033,998,35,17151
SNYDER,NC,208,180,28,3049
SOMERSET,SW,195,167,28,9356
SULLIVAN,NC,10,5,5,421
SUSQUEHANNA,NE,286,277,9,3973
TIOGA,NC,50,41,9,2924
UNION,NC,427,403,24,9282
VENANGO,NW,77,60,17,4285
WARREN,NW,41,32,9,3175
WASHINGTON,SW,1196,1129,67,22910
WAYNE,NE,202,193,9,5586
WESTMORELAND,SW,1970,1900,70,39590
WYOMING,NE,72,69,3,2557
YORK,SC,4167,4066,101,52812
