County,Region,Cases,Confirmed,Probable,PersonsWithNegativePCR
ADAMS,SC,648,630,18,13114
ALLEGHENY,SW,10376,10050,326,148182
ARMSTRONG,SW,320,316,4,5427
BEAVER,SW,1618,1571,47,16732
BEDFORD,SC,170,150,20,3702
BERKS,SE,6095,5918,177,40685
BLAIR,SC,465,447,18,13732
BRADFORD,NC,99,92,7,6363
BUCKS,SE,7824,7220,604,79254
BUTLER,SW,789,723,66,18077
CAMBRIA,SW,467,420,47,20003
CAMERON,NW,8,8,0,390
CARBON,NE,423,419,4,8004
CENTRE,NC,491,444,47,14912
CHESTER,SE,5671,5437,234,66100
CLARION,NW,98,89,9,2716
CLEARFIELD,NW,228,177,51,5543
CLINTON,NC,137,121,16,3516
COLUMBIA,NC,675,643,32,6401
CRAWFORD,NW,217,190,27,6314
CUMBERLAND,SC,1546,1462,84,23950
DAUPHIN,SC,3355,3267,88,35925
DELAWARE,SE,10429,10166,263,88689
ELK,NW,64,49,15,2156
ERIE,NW,1358,1158,200,23295
FAYETTE,SW,694,665,29,12589
FOREST,NW,14,11,3,643
FRANKLIN,SC,1525,1460,65,16809
FULTON,SC,34,32,2,997
GREENE,SW,140,129,11,3549
HUNTINGDON,SC,370,359,11,4117
INDIANA,SW,430,398,32,7553
JEFFERSON,NW,97,72,25,2903
JUNIATA,SC,151,143,8,1912
LACKAWANNA,NE,2093,2030,63,24955
LANCASTER,SE,6789,6655,134,63919
LAWRENCE,NW,464,401,63,6688
LEBANON,SC,1736,1666,70,16032
LEHIGH,NE,5212,5143,69,50395
LUZERNE,NE,3788,3692,96,38648
LYCOMING,NC,526,495,31,10957
MCKEAN,NW,40,29,11,3769
MERCER,NW,549,481,68,9992
MIFFLIN,SC,161,154,7,5441
MONROE,NE,1716,1671,45,19666
MONTGOMERY,SE,11093,11077,16,121226
MONTOUR,NC,133,116,17,7327
NORTHAMPTON,NE,4120,3994,126,46781
NORTHUMBERLAND,NC,692,640,52,9013
PERRY,SC,176,158,18,3322
PHILADELPHIA,SE,29204,29196,8,228241
PIKE,NE,543,518,25,5483
POTTER,NC,25,22,3,964
SCHUYLKILL,SE,992,959,33,15761
SNYDER,NC,166,143,23,2793
SOMERSET,SW,167,147,20,8278
SULLIVAN,NC,10,5,5,384
SUSQUEHANNA,NE,269,262,7,3717
TIOGA,NC,49,40,9,2745
UNION,NC,386,367,19,8681
VENANGO,NW,70,55,15,4103
WARREN,NW,28,22,6,3060
WASHINGTON,SW,1066,1015,51,21000
WAYNE,NE,178,171,7,5157
WESTMORELAND,SW,1819,1760,59,37463
WYOMING,NE,67,64,3,2339
YORK,SC,3442,3377,65,47415
