County,Region,Cases,Confirmed,Probable,PersonsWithNegativePCR
ADAMS,SC,822,794,28,15341
ALLEGHENY,SW,11995,11495,500,169360
ARMSTRONG,SW,428,419,9,6642
BEAVER,SW,1872,1818,54,19347
BEDFORD,SC,238,206,32,4410
BERKS,SE,6979,6794,185,48661
BLAIR,SC,648,623,25,16708
BRADFORD,NC,135,122,13,7293
BUCKS,SE,8704,8082,622,93363
BUTLER,SW,1034,933,101,21366
CAMBRIA,SW,560,494,66,22713
CAMERON,NW,8,8,0,436
CARBON,NE,462,458,4,9041
CENTRE,NC,2231,2165,66,24580
CHESTER,SE,6735,6474,261,79383
CLARION,NW,120,103,17,3137
CLEARFIELD,NW,317,264,53,7176
CLINTON,NC,204,184,20,4190
COLUMBIA,NC,883,844,39,7508
CRAWFORD,NW,303,252,51,8313
CUMBERLAND,SC,1814,1708,106,29124
DAUPHIN,SC,3767,3668,99,43175
DELAWARE,SE,11311,11032,279,104470
ELK,NW,72,55,17,2425
ERIE,NW,1526,1302,224,27033
FAYETTE,SW,788,754,34,15024
FOREST,NW,15,12,3,758
FRANKLIN,SC,1757,1685,72,20134
FULTON,SC,47,44,3,1191
GREENE,SW,183,166,17,4244
HUNTINGDON,SC,401,390,11,5942
INDIANA,SW,692,604,88,8884
JEFFERSON,NW,111,83,28,3331
JUNIATA,SC,186,177,9,2210
LACKAWANNA,NE,2459,2387,72,30599
LANCASTER,SE,7770,7601,169,76298
LAWRENCE,NW,510,443,67,7516
LEBANON,SC,2001,1926,75,19105
LEHIGH,NE,5568,5490,78,57592
LUZERNE,NE,4071,3955,116,44754
LYCOMING,NC,658,620,38,12920
MCKEAN,NW,57,45,12,4248
MERCER,NW,720,644,76,11541
MIFFLIN,SC,221,212,9,6406
MONROE,NE,1787,1741,46,22241
MONTGOMERY,SE,12084,12054,30,142729
MONTOUR,NC,168,146,22,7750
NORTHAMPTON,NE,4457,4304,153,53046
NORTHUMBERLAND,NC,963,894,69,11269
PERRY,SC,217,196,21,3922
PHILADELPHIA,SE,31418,31410,8,269055
PIKE,NE,572,547,25,6359
POTTER,NC,28,25,3,1118
SCHUYLKILL,SE,1101,1062,39,18306
SNYDER,NC,298,243,55,3342
SOMERSET,SW,212,181,31,10040
SULLIVAN,NC,11,6,5,465
SUSQUEHANNA,NE,293,284,9,4255
TIOGA,NC,67,52,15,3283
UNION,NC,464,438,26,10427
VENANGO,NW,84,67,17,4639
WARREN,NW,42,32,10,3385
WASHINGTON,SW,1320,1238,82,24594
WAYNE,NE,224,214,10,6053
WESTMORELAND,SW,2184,2056,128,41766
WYOMING,NE,74,71,3,2713
YORK,SC,4752,4614,138,57748
