County,Region,Cases,Confirmed,Probable,PersonsWithNegativePCR
ADAMS,SC,711,692,19,13687
ALLEGHENY,SW,10810,10444,366,153765
ARMSTRONG,SW,352,349,3,5695
BEAVER,SW,1710,1663,47,17413
BEDFORD,SC,179,159,20,3868
BERKS,SE,6312,6133,179,42615
BLAIR,SC,496,478,18,14279
BRADFORD,NC,102,95,7,6518
BUCKS,SE,8084,7479,605,82824
BUTLER,SW,879,799,80,19015
CAMBRIA,SW,500,448,52,20577
CAMERON,NW,8,8,0,400
CARBON,NE,431,427,4,8284
CENTRE,NC,674,627,47,16795
CHESTER,SE,5939,5698,241,69599
CLARION,NW,102,91,11,2775
CLEARFIELD,NW,256,206,50,6031
CLINTON,NC,160,143,17,3662
COLUMBIA,NC,791,759,32,6728
CRAWFORD,NW,236,209,27,7470
CUMBERLAND,SC,1608,1521,87,25173
DAUPHIN,SC,3466,3377,89,37546
DELAWARE,SE,10659,10391,268,92499
ELK,NW,65,50,15,2214
ERIE,NW,1393,1191,202,24315
FAYETTE,SW,715,685,30,13078
FOREST,NW,14,11,3,667
FRANKLIN,SC,1576,1510,66,17509
FULTON,SC,38,36,2,1039
GREENE,SW,150,137,13,3686
HUNTINGDON,SC,387,376,11,4609
INDIANA,SW,469,437,32,7794
JEFFERSON,NW,100,74,26,2979
JUNIATA,SC,156,148,8,1959
LACKAWANNA,NE,2205,2139,66,26627
LANCASTER,SE,7069,6927,142,66721
LAWRENCE,NW,474,414,60,6886
LEBANON,SC,1777,1705,72,16805
LEHIGH,NE,5308,5235,73,52322
LUZERNE,NE,3894,3795,99,40135
LYCOMING,NC,560,528,32,11381
MCKEAN,NW,41,30,11,3904
MERCER,NW,600,526,74,10323
MIFFLIN,SC,174,167,7,5655
MONROE,NE,1739,1695,44,20375
MONTGOMERY,SE,11392,11375,17,126553
MONTOUR,NC,147,130,17,7413
NORTHAMPTON,NE,4173,4044,129,48372
NORTHUMBERLAND,NC,766,710,56,9916
PERRY,SC,180,162,18,3458
PHILADELPHIA,SE,29904,29896,8,238723
PIKE,NE,547,522,25,5645
POTTER,NC,25,22,3,996
SCHUYLKILL,SE,1015,981,34,16352
SNYDER,NC,184,157,27,2945
SOMERSET,SW,182,160,22,8723
SULLIVAN,NC,10,5,5,400
SUSQUEHANNA,NE,281,272,9,3844
TIOGA,NC,49,40,9,2828
UNION,NC,417,397,20,8967
VENANGO,NW,74,57,17,4181
WARREN,NW,37,28,9,3128
WASHINGTON,SW,1142,1085,57,21764
WAYNE,NE,195,186,9,5354
WESTMORELAND,SW,1897,1833,64,38557
WYOMING,NE,70,67,3,2454
YORK,SC,3807,3721,86,49604
