County,Region,Cases,Confirmed,Probable,PersonsWithNegativePCR
ADAMS,SC,815,788,27,15247
ALLEGHENY,SW,11927,11429,498,168382
ARMSTRONG,SW,424,416,8,6545
BEAVER,SW,1856,1802,54,19221
BEDFORD,SC,235,204,31,4380
BERKS,SE,6963,6778,185,48280
BLAIR,SC,631,606,25,16498
BRADFORD,NC,135,122,13,7198
BUCKS,SE,8670,8047,623,92640
BUTLER,SW,1030,930,100,21285
CAMBRIA,SW,560,494,66,22577
CAMERON,NW,8,8,0,435
CARBON,NE,458,454,4,8975
CENTRE,NC,2202,2135,67,24372
CHESTER,SE,6701,6440,261,78731
CLARION,NW,117,102,15,3097
CLEARFIELD,NW,314,261,53,7089
CLINTON,NC,204,184,20,4159
COLUMBIA,NC,876,837,39,7424
CRAWFORD,NW,297,252,45,8294
CUMBERLAND,SC,1801,1696,105,28874
DAUPHIN,SC,3754,3657,97,42838
DELAWARE,SE,11275,10997,278,103810
ELK,NW,71,54,17,2410
ERIE,NW,1514,1291,223,26816
FAYETTE,SW,783,749,34,14874
FOREST,NW,15,12,3,757
FRANKLIN,SC,1749,1677,72,20036
FULTON,SC,45,42,3,1183
GREENE,SW,182,165,17,4110
HUNTINGDON,SC,400,389,11,5917
INDIANA,SW,684,600,84,8786
JEFFERSON,NW,111,83,28,3306
JUNIATA,SC,184,175,9,2189
LACKAWANNA,NE,2424,2353,71,30408
LANCASTER,SE,7733,7565,168,75761
LAWRENCE,NW,509,441,68,7476
LEBANON,SC,1983,1908,75,18955
LEHIGH,NE,5551,5473,78,57262
LUZERNE,NE,4060,3944,116,44398
LYCOMING,NC,651,614,37,12837
MCKEAN,NW,57,45,12,4231
MERCER,NW,710,634,76,11459
MIFFLIN,SC,220,211,9,6332
MONROE,NE,1785,1739,46,22106
MONTGOMERY,SE,12059,12029,30,141602
MONTOUR,NC,165,143,22,7725
NORTHAMPTON,NE,4443,4291,152,52732
NORTHUMBERLAND,NC,927,858,69,11205
PERRY,SC,214,193,21,3899
PHILADELPHIA,SE,31368,31360,8,267365
PIKE,NE,572,547,25,6298
POTTER,NC,27,24,3,1105
SCHUYLKILL,SE,1094,1057,37,18204
SNYDER,NC,285,233,52,3313
SOMERSET,SW,211,180,31,9968
SULLIVAN,NC,11,6,5,455
SUSQUEHANNA,NE,293,284,9,4224
TIOGA,NC,66,52,14,3263
UNION,NC,454,429,25,10213
VENANGO,NW,85,68,17,4641
WARREN,NW,42,32,10,3370
WASHINGTON,SW,1311,1230,81,24404
WAYNE,NE,223,213,10,5979
WESTMORELAND,SW,2150,2032,118,41519
WYOMING,NE,73,70,3,2698
YORK,SC,4650,4524,126,57328
