County,Region,Cases,Confirmed,Probable,PersonsWithNegativePCR
ADAMS,SC,765,741,24,14515
ALLEGHENY,SW,11510,11084,426,162251
ARMSTRONG,SW,399,394,5,6218
BEAVER,SW,1814,1760,54,18452
BEDFORD,SC,222,190,32,4161
BERKS,SE,6741,6561,180,46020
BLAIR,SC,540,518,22,15548
BRADFORD,NC,118,108,10,6823
BUCKS,SE,8415,7802,613,88393
BUTLER,SW,966,877,89,20414
CAMBRIA,SW,528,469,59,21757
CAMERON,NW,8,8,0,415
CARBON,NE,440,436,4,8650
CENTRE,NC,1600,1542,58,22025
CHESTER,SE,6421,6164,257,74600
CLARION,NW,113,99,14,2953
CLEARFIELD,NW,293,241,52,6595
CLINTON,NC,185,168,17,3877
COLUMBIA,NC,848,812,36,7157
CRAWFORD,NW,283,248,35,7819
CUMBERLAND,SC,1716,1623,93,27183
DAUPHIN,SC,3644,3551,93,40744
DELAWARE,SE,11044,10770,274,98897
ELK,NW,67,51,16,2306
ERIE,NW,1446,1237,209,25599
FAYETTE,SW,759,725,34,14314
FOREST,NW,14,11,3,713
FRANKLIN,SC,1691,1622,69,18961
FULTON,SC,42,39,3,1130
GREENE,SW,165,152,13,3925
HUNTINGDON,SC,393,382,11,5405
INDIANA,SW,596,541,55,8302
JEFFERSON,NW,107,79,28,3147
JUNIATA,SC,172,164,8,2087
LACKAWANNA,NE,2337,2269,68,28962
LANCASTER,SE,7436,7282,154,71579
LAWRENCE,NW,492,427,65,7210
LEBANON,SC,1900,1828,72,18011
LEHIGH,NE,5451,5376,75,55092
LUZERNE,NE,3989,3885,104,42453
LYCOMING,NC,610,574,36,12197
MCKEAN,NW,51,39,12,4063
MERCER,NW,663,588,75,10854
MIFFLIN,SC,207,199,8,6047
MONROE,NE,1770,1725,45,21365
MONTGOMERY,SE,11800,11777,23,134874
MONTOUR,NC,162,140,22,7604
NORTHAMPTON,NE,4329,4184,145,50814
NORTHUMBERLAND,NC,832,770,62,10728
PERRY,SC,198,177,21,3710
PHILADELPHIA,SE,30718,30710,8,255839
PIKE,NE,561,536,25,6003
POTTER,NC,25,22,3,1050
SCHUYLKILL,SE,1051,1015,36,17535
SNYDER,NC,243,200,43,3147
SOMERSET,SW,197,168,29,9614
SULLIVAN,NC,11,6,5,428
SUSQUEHANNA,NE,291,282,9,4060
TIOGA,NC,52,43,9,3022
UNION,NC,448,424,24,9599
VENANGO,NW,80,63,17,4371
WARREN,NW,42,32,10,3241
WASHINGTON,SW,1250,1183,67,23458
WAYNE,NE,208,198,10,5714
WESTMORELAND,SW,2021,1941,80,40240
WYOMING,NE,72,69,3,2603
YORK,SC,4361,4251,110,54432
