County,Region,Cases,Confirmed,Probable,PersonsWithNegativePCR
ADAMS,SC,749,726,23,14353
ALLEGHENY,SW,11358,10945,413,159903
ARMSTRONG,SW,386,382,4,6139
BEAVER,SW,1796,1744,52,18194
BEDFORD,SC,213,184,29,4072
BERKS,SE,6641,6461,180,45217
BLAIR,SC,536,514,22,15348
BRADFORD,NC,114,104,10,6773
BUCKS,SE,8349,7741,608,87032
BUTLER,SW,945,863,82,20171
CAMBRIA,SW,527,469,58,21548
CAMERON,NW,8,8,0,413
CARBON,NE,439,435,4,8561
CENTRE,NC,1449,1395,54,21233
CHESTER,SE,6321,6066,255,73508
CLARION,NW,112,99,13,2929
CLEARFIELD,NW,288,236,52,6486
CLINTON,NC,176,159,17,3813
COLUMBIA,NC,843,807,36,7061
CRAWFORD,NW,257,225,32,7793
CUMBERLAND,SC,1696,1605,91,26441
DAUPHIN,SC,3597,3505,92,39822
DELAWARE,SE,10967,10694,273,97112
ELK,NW,66,51,15,2295
ERIE,NW,1435,1226,209,25257
FAYETTE,SW,750,717,33,14095
FOREST,NW,14,11,3,701
FRANKLIN,SC,1677,1608,69,18622
FULTON,SC,41,39,2,1114
GREENE,SW,160,146,14,3879
HUNTINGDON,SC,393,381,12,5203
INDIANA,SW,553,514,39,8165
JEFFERSON,NW,104,76,28,3121
JUNIATA,SC,169,161,8,2050
LACKAWANNA,NE,2329,2261,68,28601
LANCASTER,SE,7354,7203,151,70521
LAWRENCE,NW,487,423,64,7144
LEBANON,SC,1857,1786,71,17702
LEHIGH,NE,5409,5334,75,54288
LUZERNE,NE,3966,3864,102,41886
LYCOMING,NC,596,560,36,11998
MCKEAN,NW,51,38,13,4010
MERCER,NW,659,585,74,10741
MIFFLIN,SC,198,191,7,5972
MONROE,NE,1766,1721,45,21093
MONTGOMERY,SE,11710,11689,21,133040
MONTOUR,NC,161,140,21,7564
NORTHAMPTON,NE,4277,4137,140,50154
NORTHUMBERLAND,NC,811,751,60,10517
PERRY,SC,190,171,19,3643
PHILADELPHIA,SE,30550,30542,8,251856
PIKE,NE,557,532,25,5909
POTTER,NC,25,22,3,1037
SCHUYLKILL,SE,1044,1009,35,17332
SNYDER,NC,224,189,35,3083
SOMERSET,SW,195,167,28,9463
SULLIVAN,NC,10,5,5,424
SUSQUEHANNA,NE,288,279,9,4004
TIOGA,NC,53,44,9,2964
UNION,NC,439,415,24,9448
VENANGO,NW,77,60,17,4302
WARREN,NW,43,33,10,3202
WASHINGTON,SW,1232,1166,66,23191
WAYNE,NE,204,195,9,5630
WESTMORELAND,SW,1993,1922,71,39941
WYOMING,NE,72,69,3,2574
YORK,SC,4258,4150,108,53626
