County,Region,Cases,Confirmed,Probable,PersonsWithNegativePCR
ADAMS,SC,734,713,21,14079
ALLEGHENY,SW,11126,10735,391,157675
ARMSTRONG,SW,380,376,4,6046
BEAVER,SW,1767,1715,52,17932
BEDFORD,SC,202,174,28,3994
BERKS,SE,6521,6343,178,44165
BLAIR,SC,517,495,22,14842
BRADFORD,NC,104,97,7,6656
BUCKS,SE,8229,7621,608,85285
BUTLER,SW,932,850,82,19977
CAMBRIA,SW,518,460,58,21231
CAMERON,NW,8,8,0,407
CARBON,NE,436,432,4,8460
CENTRE,NC,1135,1083,52,20059
CHESTER,SE,6173,5919,254,71800
CLARION,NW,110,98,12,2853
CLEARFIELD,NW,271,219,52,6323
CLINTON,NC,169,152,17,3773
COLUMBIA,NC,836,800,36,6893
CRAWFORD,NW,245,214,31,7628
CUMBERLAND,SC,1661,1574,87,25872
DAUPHIN,SC,3559,3466,93,38921
DELAWARE,SE,10857,10589,268,95442
ELK,NW,66,51,15,2261
ERIE,NW,1421,1214,207,24926
FAYETTE,SW,740,708,32,13567
FOREST,NW,14,11,3,681
FRANKLIN,SC,1642,1573,69,18143
FULTON,SC,40,38,2,1074
GREENE,SW,159,144,15,3792
HUNTINGDON,SC,393,381,12,5033
INDIANA,SW,523,489,34,8043
JEFFERSON,NW,101,75,26,3070
JUNIATA,SC,164,156,8,2007
LACKAWANNA,NE,2301,2233,68,28098
LANCASTER,SE,7273,7121,152,69065
LAWRENCE,NW,481,417,64,7050
LEBANON,SC,1814,1743,71,17313
LEHIGH,NE,5366,5291,75,53604
LUZERNE,NE,3941,3839,102,41265
LYCOMING,NC,585,549,36,11755
MCKEAN,NW,47,34,13,3968
MERCER,NW,636,563,73,10593
MIFFLIN,SC,189,181,8,5840
MONROE,NE,1753,1709,44,20862
MONTGOMERY,SE,11578,11556,22,130455
MONTOUR,NC,160,139,21,7491
NORTHAMPTON,NE,4224,4092,132,49504
NORTHUMBERLAND,NC,799,741,58,10285
PERRY,SC,186,168,18,3573
PHILADELPHIA,SE,30278,30270,8,247371
PIKE,NE,554,529,25,5814
POTTER,NC,25,22,3,1016
SCHUYLKILL,SE,1029,995,34,17068
SNYDER,NC,203,175,28,3011
SOMERSET,SW,195,167,28,9287
SULLIVAN,NC,10,5,5,420
SUSQUEHANNA,NE,286,277,9,3959
TIOGA,NC,51,42,9,2888
UNION,NC,425,401,24,9203
VENANGO,NW,74,57,17,4276
WARREN,NW,40,31,9,3160
WASHINGTON,SW,1190,1128,62,22821
WAYNE,NE,201,192,9,5563
WESTMORELAND,SW,1962,1888,74,39463
WYOMING,NE,72,69,3,2545
YORK,SC,4124,4026,98,52504
