County,Region,Cases,Confirmed,Probable,PersonsWithNegativePCR
ADAMS,SC,585,567,18,10901
ALLEGHENY,SW,10065,9753,312,142498
ARMSTRONG,SW,301,299,2,5246
BEAVER,SW,1532,1488,44,15997
BEDFORD,SC,166,146,20,3529
BERKS,SE,5942,5765,177,38791
BLAIR,SC,427,409,18,13294
BRADFORD,NC,98,91,7,6184
BUCKS,SE,7666,7062,604,75995
BUTLER,SW,760,697,63,17453
CAMBRIA,SW,448,407,41,19247
CAMERON,NW,8,8,0,385
CARBON,NE,419,415,4,7825
CENTRE,NC,433,387,46,12547
CHESTER,SE,5513,5279,234,62571
CLARION,NW,99,90,9,2622
CLEARFIELD,NW,215,171,44,5278
CLINTON,NC,131,116,15,3351
COLUMBIA,NC,562,531,31,6126
CRAWFORD,NW,201,175,26,6083
CUMBERLAND,SC,1487,1403,84,22915
DAUPHIN,SC,3214,3131,83,34267
DELAWARE,SE,10187,9924,263,84267
ELK,NW,64,49,15,2110
ERIE,NW,1321,1133,188,22435
FAYETTE,SW,674,646,28,12094
FOREST,NW,14,11,3,613
FRANKLIN,SC,1493,1430,63,16228
FULTON,SC,34,32,2,969
GREENE,SW,135,124,11,3441
HUNTINGDON,SC,354,343,11,3744
INDIANA,SW,412,387,25,7315
JEFFERSON,NW,96,71,25,2805
JUNIATA,SC,149,140,9,1764
LACKAWANNA,NE,2012,1951,61,22998
LANCASTER,SE,6578,6449,129,61528
LAWRENCE,NW,450,392,58,6515
LEBANON,SC,1694,1622,72,15382
LEHIGH,NE,5152,5084,68,48146
LUZERNE,NE,3730,3636,94,37369
LYCOMING,NC,501,475,26,10568
MCKEAN,NW,36,27,9,3692
MERCER,NW,539,472,67,9699
MIFFLIN,SC,152,145,7,5191
MONROE,NE,1704,1661,43,19123
MONTGOMERY,SE,10871,10855,16,115929
MONTOUR,NC,126,110,16,7214
NORTHAMPTON,NE,4080,3956,124,44928
NORTHUMBERLAND,NC,652,604,48,8444
PERRY,SC,172,154,18,3181
PHILADELPHIA,SE,28635,28627,8,218170
PIKE,NE,537,512,25,5314
POTTER,NC,24,21,3,945
SCHUYLKILL,SE,980,947,33,15229
SNYDER,NC,148,127,21,2650
SOMERSET,SW,161,142,19,7980
SULLIVAN,NC,10,5,5,369
SUSQUEHANNA,NE,255,248,7,3533
TIOGA,NC,46,36,10,2609
UNION,NC,359,341,18,8373
VENANGO,NW,70,55,15,3990
WARREN,NW,26,20,6,2675
WASHINGTON,SW,1001,953,48,20078
WAYNE,NE,175,168,7,4947
WESTMORELAND,SW,1778,1721,57,36403
WYOMING,NE,65,62,3,2236
YORK,SC,3232,3172,60,45467
