County,Region,Cases,Confirmed,Probable,PersonsWithNegativePCR
ADAMS,SC,697,679,18,13429
ALLEGHENY,SW,10641,10290,351,151621
ARMSTRONG,SW,343,340,3,5563
BEAVER,SW,1694,1647,47,17182
BEDFORD,SC,176,156,20,3797
BERKS,SE,6214,6036,178,41601
BLAIR,SC,490,472,18,13994
BRADFORD,NC,100,93,7,6444
BUCKS,SE,7961,7357,604,81120
BUTLER,SW,833,759,74,18611
CAMBRIA,SW,486,434,52,20357
CAMERON,NW,8,8,0,392
CARBON,NE,427,423,4,8168
CENTRE,NC,615,568,47,16036
CHESTER,SE,5781,5539,242,67753
CLARION,NW,100,90,10,2741
CLEARFIELD,NW,239,189,50,5892
CLINTON,NC,150,134,16,3584
COLUMBIA,NC,754,722,32,6608
CRAWFORD,NW,222,195,27,7090
CUMBERLAND,SC,1578,1492,86,24510
DAUPHIN,SC,3410,3322,88,36754
DELAWARE,SE,10546,10281,265,90774
ELK,NW,64,49,15,2180
ERIE,NW,1376,1173,203,23837
FAYETTE,SW,705,675,30,12865
FOREST,NW,14,11,3,655
FRANKLIN,SC,1559,1493,66,17219
FULTON,SC,36,34,2,1032
GREENE,SW,145,133,12,3625
HUNTINGDON,SC,382,371,11,4460
INDIANA,SW,456,423,33,7686
JEFFERSON,NW,99,73,26,2935
JUNIATA,SC,151,143,8,1939
LACKAWANNA,NE,2154,2089,65,25935
LANCASTER,SE,6960,6820,140,65489
LAWRENCE,NW,470,408,62,6818
LEBANON,SC,1748,1678,70,16421
LEHIGH,NE,5249,5180,69,51222
LUZERNE,NE,3831,3735,96,39360
LYCOMING,NC,544,513,31,11197
MCKEAN,NW,41,30,11,3820
MERCER,NW,565,492,73,10136
MIFFLIN,SC,170,163,7,5554
MONROE,NE,1731,1687,44,20021
MONTGOMERY,SE,11237,11220,17,123804
MONTOUR,NC,141,124,17,7377
NORTHAMPTON,NE,4141,4015,126,47567
NORTHUMBERLAND,NC,740,686,54,9451
PERRY,SC,178,160,18,3396
PHILADELPHIA,SE,29652,29644,8,233859
PIKE,NE,543,518,25,5573
POTTER,NC,25,22,3,983
SCHUYLKILL,SE,997,964,33,16066
SNYDER,NC,174,151,23,2879
SOMERSET,SW,179,157,22,8632
SULLIVAN,NC,10,5,5,395
SUSQUEHANNA,NE,277,270,7,3811
TIOGA,NC,48,39,9,2789
UNION,NC,397,377,20,8839
VENANGO,NW,72,56,16,4156
WARREN,NW,36,27,9,3097
WASHINGTON,SW,1117,1063,54,21442
WAYNE,NE,185,178,7,5265
WESTMORELAND,SW,1861,1797,64,38115
WYOMING,NE,70,67,3,2417
YORK,SC,3667,3592,75,48539
