County,Region,Cases,Confirmed,Probable,PersonsWithNegativePCR
ADAMS,SC,570,553,17,10243
ALLEGHENY,SW,9932,9628,304,139241
ARMSTRONG,SW,285,283,2,5046
BEAVER,SW,1504,1462,42,15635
BEDFORD,SC,161,144,17,3453
BERKS,SE,5847,5672,175,37739
BLAIR,SC,407,389,18,12989
BRADFORD,NC,96,89,7,6109
BUCKS,SE,7607,7005,602,74161
BUTLER,SW,745,685,60,17038
CAMBRIA,SW,430,392,38,18794
CAMERON,NW,8,8,0,377
CARBON,NE,416,412,4,7679
CENTRE,NC,423,377,46,11789
CHESTER,SE,5457,5226,231,60775
CLARION,NW,95,86,9,2593
CLEARFIELD,NW,210,166,44,5071
CLINTON,NC,130,115,15,3109
COLUMBIA,NC,527,496,31,5949
CRAWFORD,NW,190,166,24,5886
CUMBERLAND,SC,1458,1374,84,22368
DAUPHIN,SC,3144,3066,78,33123
DELAWARE,SE,10078,9818,260,81718
ELK,NW,64,49,15,2076
ERIE,NW,1297,1113,184,21804
FAYETTE,SW,661,637,24,11836
FOREST,NW,13,10,3,589
FRANKLIN,SC,1472,1409,63,15520
FULTON,SC,31,29,2,918
GREENE,SW,135,124,11,3382
HUNTINGDON,SC,350,340,10,3591
INDIANA,SW,400,378,22,7182
JEFFERSON,NW,94,69,25,2754
JUNIATA,SC,143,136,7,1706
LACKAWANNA,NE,1999,1938,61,22533
LANCASTER,SE,6479,6351,128,59767
LAWRENCE,NW,441,386,55,6377
LEBANON,SC,1677,1606,71,14965
LEHIGH,NE,5132,5064,68,47253
LUZERNE,NE,3698,3604,94,36606
LYCOMING,NC,484,458,26,10273
MCKEAN,NW,35,26,9,3651
MERCER,NW,532,464,68,9521
MIFFLIN,SC,138,133,5,5061
MONROE,NE,1694,1651,43,18796
MONTGOMERY,SE,10755,10739,16,113125
MONTOUR,NC,123,107,16,7138
NORTHAMPTON,NE,4066,3942,124,43770
NORTHUMBERLAND,NC,631,584,47,8164
PERRY,SC,160,145,15,3107
PHILADELPHIA,SE,28372,28364,8,212249
PIKE,NE,535,510,25,5250
POTTER,NC,24,21,3,936
SCHUYLKILL,SE,971,938,33,14788
SNYDER,NC,142,121,21,2505
SOMERSET,SW,156,140,16,7742
SULLIVAN,NC,10,5,5,362
SUSQUEHANNA,NE,247,240,7,3454
TIOGA,NC,46,36,10,2558
UNION,NC,361,344,17,8294
VENANGO,NW,69,54,15,3934
WARREN,NW,26,20,6,2596
WASHINGTON,SW,979,935,44,19501
WAYNE,NE,171,164,7,4839
WESTMORELAND,SW,1740,1688,52,35748
WYOMING,NE,65,62,3,2186
YORK,SC,3136,3076,60,44072
