County,Region,Cases,Confirmed,Probable,PersonsWithNegativePCR
ADAMS,SC,566,549,17,10044
ALLEGHENY,SW,9817,9515,302,137128
ARMSTRONG,SW,276,275,1,4954
BEAVER,SW,1496,1454,42,15309
BEDFORD,SC,160,143,17,3418
BERKS,SE,5781,5609,172,36979
BLAIR,SC,393,375,18,12827
BRADFORD,NC,95,88,7,6045
BUCKS,SE,7562,6960,602,73161
BUTLER,SW,744,684,60,16787
CAMBRIA,SW,421,383,38,18582
CAMERON,NW,8,8,0,375
CARBON,NE,413,409,4,7611
CENTRE,NC,415,369,46,11500
CHESTER,SE,5419,5188,231,59710
CLARION,NW,95,86,9,2571
CLEARFIELD,NW,207,165,42,4972
CLINTON,NC,129,114,15,3033
COLUMBIA,NC,514,482,32,5881
CRAWFORD,NW,184,159,25,5789
CUMBERLAND,SC,1437,1355,82,22006
DAUPHIN,SC,3104,3026,78,32481
DELAWARE,SE,10011,9752,259,80360
ELK,NW,64,49,15,2046
ERIE,NW,1283,1101,182,21538
FAYETTE,SW,656,633,23,11579
FOREST,NW,13,10,3,584
FRANKLIN,SC,1457,1394,63,15335
FULTON,SC,31,29,2,912
GREENE,SW,133,122,11,3343
HUNTINGDON,SC,346,336,10,3544
INDIANA,SW,396,375,21,7096
JEFFERSON,NW,88,61,27,2665
JUNIATA,SC,142,135,7,1685
LACKAWANNA,NE,1987,1926,61,22243
LANCASTER,SE,6428,6300,128,58878
LAWRENCE,NW,439,385,54,6304
LEBANON,SC,1665,1595,70,14750
LEHIGH,NE,5119,5051,68,46767
LUZERNE,NE,3678,3586,92,36232
LYCOMING,NC,471,445,26,10079
MERCER,NW,518,454,64,9375
MIFFLIN,SC,138,133,5,5010
MONROE,NE,1688,1645,43,18616
MONTGOMERY,SE,10667,10651,16,111391
MONTOUR,NC,123,107,16,7086
NORTHAMPTON,NE,4050,3927,123,43290
NORTHUMBERLAND,NC,617,570,47,8084
PERRY,SC,158,143,15,3068
PHILADELPHIA,SE,28225,28217,8,208997
PIKE,NE,533,508,25,5203
POTTER,NC,22,19,3,925
SCHUYLKILL,SE,970,937,33,14628
SNYDER,NC,137,118,19,2477
SOMERSET,SW,153,137,16,7664
SULLIVAN,NC,10,5,5,357
SUSQUEHANNA,NE,245,238,7,3419
TIOGA,NC,45,35,10,2507
UNION,NC,354,337,17,8127
VENANGO,NW,69,54,15,3902
WARREN,NW,25,19,6,2562
WASHINGTON,SW,968,924,44,19197
WAYNE,NE,169,162,7,4766
WESTMORELAND,SW,1716,1664,52,35289
WYOMING,NE,65,62,3,2168
