County,Region,Cases,Confirmed,Probable,PersonsWithNegativePCR
ADAMS,SC,708,689,19,13592
ALLEGHENY,SW,10771,10404,367,153292
ARMSTRONG,SW,349,346,3,5676
BEAVER,SW,1706,1659,47,17378
BEDFORD,SC,178,158,20,3846
BERKS,SE,6283,6105,178,42301
BLAIR,SC,495,477,18,14188
BRADFORD,NC,102,95,7,6491
BUCKS,SE,8048,7443,605,82280
BUTLER,SW,870,791,79,18950
CAMBRIA,SW,496,444,52,20525
CAMERON,NW,8,8,0,396
CARBON,NE,430,426,4,8253
CENTRE,NC,661,614,47,16671
CHESTER,SE,5899,5657,242,69042
CLARION,NW,101,91,10,2771
CLEARFIELD,NW,256,206,50,5988
CLINTON,NC,157,141,16,3640
COLUMBIA,NC,784,752,32,6698
CRAWFORD,NW,235,208,27,7433
CUMBERLAND,SC,1602,1515,87,25006
DAUPHIN,SC,3452,3363,89,37201
DELAWARE,SE,10625,10357,268,92037
ELK,NW,65,50,15,2204
ERIE,NW,1390,1188,202,24205
FAYETTE,SW,711,681,30,13006
FOREST,NW,14,11,3,661
FRANKLIN,SC,1572,1506,66,17437
FULTON,SC,39,37,2,1036
GREENE,SW,149,136,13,3652
HUNTINGDON,SC,386,375,11,4556
INDIANA,SW,462,430,32,7754
JEFFERSON,NW,99,73,26,2968
JUNIATA,SC,153,145,8,1953
LACKAWANNA,NE,2201,2135,66,26503
LANCASTER,SE,7038,6897,141,66226
LAWRENCE,NW,474,413,61,6869
LEBANON,SC,1768,1697,71,16629
LEHIGH,NE,5293,5223,70,52016
LUZERNE,NE,3882,3783,99,39971
LYCOMING,NC,561,530,31,11321
MERCER,NW,589,515,74,10308
MIFFLIN,SC,172,165,7,5641
MONROE,NE,1737,1693,44,20242
MONTGOMERY,SE,11346,11329,17,125817
MONTOUR,NC,144,127,17,7414
NORTHAMPTON,NE,4158,4029,129,48164
NORTHUMBERLAND,NC,764,708,56,9671
PERRY,SC,179,161,18,3445
PHILADELPHIA,SE,29859,29851,8,237223
PIKE,NE,546,521,25,5627
POTTER,NC,25,22,3,995
SCHUYLKILL,SE,1009,975,34,16249
SNYDER,NC,182,156,26,2924
SOMERSET,SW,182,160,22,8688
SULLIVAN,NC,10,5,5,400
SUSQUEHANNA,NE,280,271,9,3839
TIOGA,NC,48,39,9,2823
UNION,NC,406,386,20,8918
VENANGO,NW,72,56,16,4180
WARREN,NW,37,28,9,3118
WASHINGTON,SW,1134,1076,58,21631
WAYNE,NE,192,183,9,5320
WESTMORELAND,SW,1888,1823,65,38438
WYOMING,NE,70,67,3,2446
