County,Region,Cases,Confirmed,Probable,PersonsWithNegativePCR
ADAMS,SC,717,697,20,13764
ALLEGHENY,SW,10915,10541,374,154773
ARMSTRONG,SW,366,363,3,5745
BEAVER,SW,1722,1675,47,17504
BEDFORD,SC,187,162,25,3903
BERKS,SE,6394,6215,179,43223
BLAIR,SC,504,486,18,14488
BRADFORD,NC,103,96,7,6572
BUCKS,SE,8128,7524,604,83770
BUTLER,SW,904,823,81,19253
CAMBRIA,SW,509,454,55,20792
CAMERON,NW,8,8,0,403
CARBON,NE,432,428,4,8340
CENTRE,NC,870,822,48,18762
CHESTER,SE,6052,5811,241,70489
CLARION,NW,107,96,11,2784
CLEARFIELD,NW,265,215,50,6133
CLINTON,NC,162,145,17,3701
COLUMBIA,NC,813,779,34,6788
CRAWFORD,NW,237,210,27,7511
CUMBERLAND,SC,1634,1547,87,25412
DAUPHIN,SC,3498,3408,90,37946
DELAWARE,SE,10733,10465,268,93514
ELK,NW,65,50,15,2232
ERIE,NW,1408,1206,202,24525
FAYETTE,SW,722,690,32,13135
FOREST,NW,14,11,3,669
FRANKLIN,SC,1616,1549,67,17750
FULTON,SC,38,36,2,1059
GREENE,SW,152,139,13,3707
HUNTINGDON,SC,387,376,11,4657
INDIANA,SW,479,447,32,7859
JEFFERSON,NW,100,74,26,3011
JUNIATA,SC,159,151,8,1976
LACKAWANNA,NE,2218,2150,68,26761
LANCASTER,SE,7140,6990,150,67604
LAWRENCE,NW,479,416,63,6939
LEBANON,SC,1788,1717,71,16970
LEHIGH,NE,5329,5254,75,52705
LUZERNE,NE,3910,3812,98,40473
LYCOMING,NC,568,534,34,11456
MCKEAN,NW,44,33,11,3919
MERCER,NW,612,539,73,10393
MIFFLIN,SC,176,169,7,5720
MONROE,NE,1747,1702,45,20577
MONTGOMERY,SE,11475,11458,17,127774
MONTOUR,NC,154,134,20,7429
NORTHAMPTON,NE,4186,4057,129,48683
NORTHUMBERLAND,NC,773,717,56,10015
PERRY,SC,184,166,18,3506
PHILADELPHIA,SE,30040,30032,8,241461
PIKE,NE,548,523,25,5683
POTTER,NC,25,22,3,1010
SCHUYLKILL,SE,1023,989,34,16486
SNYDER,NC,191,164,27,2941
SOMERSET,SW,186,163,23,8761
SULLIVAN,NC,10,5,5,406
SUSQUEHANNA,NE,284,275,9,3879
TIOGA,NC,50,41,9,2857
UNION,NC,411,391,20,9060
VENANGO,NW,74,57,17,4191
WARREN,NW,40,31,9,3145
WASHINGTON,SW,1156,1098,58,21947
WAYNE,NE,196,187,9,5390
WESTMORELAND,SW,1914,1847,67,38764
WYOMING,NE,70,67,3,2475
YORK,SC,3889,3802,87,50110
