County,Region,Cases,Confirmed,Probable,PersonsWithNegativePCR
ADAMS,SC,742,719,23,14249
ALLEGHENY,SW,11268,10867,401,159114
ARMSTRONG,SW,384,380,4,6113
BEAVER,SW,1783,1731,52,18090
BEDFORD,SC,212,184,28,4048
BERKS,SE,6587,6406,181,44895
BLAIR,SC,532,510,22,15230
BRADFORD,NC,108,98,10,6726
BUCKS,SE,8294,7686,608,86435
BUTLER,SW,938,856,82,20059
CAMBRIA,SW,525,467,58,21448
CAMERON,NW,8,8,0,408
CARBON,NE,438,434,4,8520
CENTRE,NC,1237,1183,54,20376
CHESTER,SE,6261,6006,255,72869
CLARION,NW,112,99,13,2906
CLEARFIELD,NW,286,234,52,6437
CLINTON,NC,170,153,17,3799
COLUMBIA,NC,842,806,36,7015
CRAWFORD,NW,254,222,32,7769
CUMBERLAND,SC,1685,1595,90,26295
DAUPHIN,SC,3580,3488,92,39597
DELAWARE,SE,10922,10654,268,96491
ELK,NW,66,51,15,2280
ERIE,NW,1423,1217,206,25086
FAYETTE,SW,747,714,33,13963
FOREST,NW,14,11,3,699
FRANKLIN,SC,1658,1589,69,18411
FULTON,SC,40,38,2,1086
GREENE,SW,159,144,15,3859
HUNTINGDON,SC,392,381,11,5171
INDIANA,SW,534,499,35,8128
JEFFERSON,NW,101,75,26,3111
JUNIATA,SC,167,159,8,2029
LACKAWANNA,NE,2321,2252,69,28421
LANCASTER,SE,7325,7173,152,70123
LAWRENCE,NW,487,423,64,7106
LEBANON,SC,1838,1767,71,17588
LEHIGH,NE,5393,5318,75,54071
LUZERNE,NE,3951,3849,102,41609
LYCOMING,NC,588,552,36,11916
MERCER,NW,656,582,74,10678
MIFFLIN,SC,195,188,7,5937
MONROE,NE,1759,1714,45,20998
MONTGOMERY,SE,11657,11636,21,132304
MONTOUR,NC,161,140,21,7539
NORTHAMPTON,NE,4258,4120,138,49910
NORTHUMBERLAND,NC,806,748,58,10462
PERRY,SC,188,170,18,3619
PHILADELPHIA,SE,30353,30345,8,250517
PIKE,NE,555,530,25,5877
POTTER,NC,25,22,3,1023
SCHUYLKILL,SE,1039,1004,35,17226
SNYDER,NC,209,181,28,3061
SOMERSET,SW,195,167,28,9417
SULLIVAN,NC,10,5,5,422
SUSQUEHANNA,NE,287,278,9,3982
TIOGA,NC,52,43,9,2937
UNION,NC,435,411,24,9391
VENANGO,NW,77,60,17,4293
WARREN,NW,41,32,9,3178
WASHINGTON,SW,1210,1143,67,23053
WAYNE,NE,202,193,9,5607
WESTMORELAND,SW,1985,1915,70,39790
WYOMING,NE,72,69,3,2566
