County,Region,Cases,Confirmed,Probable,PersonsWithNegativePCR
ADAMS,SC,580,562,18,10505
ALLEGHENY,SW,10004,9694,310,141442
ARMSTRONG,SW,297,295,2,5112
BEAVER,SW,1526,1481,45,15896
BEDFORD,SC,162,145,17,3510
BERKS,SE,5916,5738,178,38422
BLAIR,SC,422,404,18,13172
BRADFORD,NC,96,89,7,6160
BUCKS,SE,7641,7039,602,75350
BUTLER,SW,757,695,62,17333
CAMBRIA,SW,443,404,39,19106
CAMERON,NW,8,8,0,381
CARBON,NE,419,415,4,7788
CENTRE,NC,429,383,46,12135
CHESTER,SE,5496,5263,233,61862
CLARION,NW,96,87,9,2618
CLEARFIELD,NW,213,169,44,5206
CLINTON,NC,130,115,15,3282
COLUMBIA,NC,546,516,30,6070
CRAWFORD,NW,193,167,26,6000
CUMBERLAND,SC,1472,1388,84,22738
DAUPHIN,SC,3197,3116,81,33793
DELAWARE,SE,10144,9881,263,83383
ELK,NW,64,49,15,2097
ERIE,NW,1313,1126,187,22201
FAYETTE,SW,665,638,27,11983
FOREST,NW,14,11,3,596
FRANKLIN,SC,1488,1425,63,16061
FULTON,SC,34,32,2,960
GREENE,SW,135,124,11,3405
HUNTINGDON,SC,350,340,10,3666
INDIANA,SW,411,386,25,7258
JEFFERSON,NW,95,70,25,2788
JUNIATA,SC,146,139,7,1734
LACKAWANNA,NE,2008,1946,62,22808
LANCASTER,SE,6547,6418,129,60932
LAWRENCE,NW,445,389,56,6461
LEBANON,SC,1685,1614,71,15240
LEHIGH,NE,5139,5071,68,47843
LUZERNE,NE,3720,3626,94,37119
LYCOMING,NC,498,471,27,10435
MERCER,NW,537,470,67,9624
MIFFLIN,SC,146,141,5,5138
MONROE,NE,1700,1657,43,18998
MONTGOMERY,SE,10818,10802,16,114886
MONTOUR,NC,126,110,16,7184
NORTHAMPTON,NE,4073,3949,124,44295
NORTHUMBERLAND,NC,641,593,48,8297
PERRY,SC,165,150,15,3155
PHILADELPHIA,SE,28558,28550,8,216216
PIKE,NE,536,511,25,5287
POTTER,NC,24,21,3,942
SCHUYLKILL,SE,976,943,33,15130
SNYDER,NC,148,127,21,2612
SOMERSET,SW,160,141,19,7868
SULLIVAN,NC,10,5,5,364
SUSQUEHANNA,NE,252,245,7,3517
TIOGA,NC,46,36,10,2599
UNION,NC,359,341,18,8342
VENANGO,NW,70,55,15,3955
WARREN,NW,26,20,6,2657
WASHINGTON,SW,994,947,47,19807
WAYNE,NE,175,168,7,4894
WESTMORELAND,SW,1763,1708,55,36151
WYOMING,NE,65,62,3,2223
YORK,SC,3189,3128,61,44983
