County,Region,Cases,Confirmed,Probable,PersonsWithNegativePCR
ADAMS,SC,686,668,18,13365
ALLEGHENY,SW,10549,10211,338,150575
ARMSTRONG,SW,341,338,3,5513
BEAVER,SW,1653,1606,47,17063
BEDFORD,SC,176,156,20,3763
BERKS,SE,6174,5996,178,41293
BLAIR,SC,472,454,18,13920
BRADFORD,NC,99,92,7,6394
BUCKS,SE,7899,7295,604,80583
BUTLER,SW,821,753,68,18420
CAMBRIA,SW,480,431,49,20253
CAMERON,NW,8,8,0,392
CARBON,NE,425,421,4,8125
CENTRE,NC,578,531,47,15694
CHESTER,SE,5734,5495,239,67319
CLARION,NW,98,89,9,2736
CLEARFIELD,NW,237,187,50,5847
CLINTON,NC,147,131,16,3558
COLUMBIA,NC,728,696,32,6526
CRAWFORD,NW,220,193,27,7058
CUMBERLAND,SC,1563,1478,85,24258
DAUPHIN,SC,3393,3306,87,36546
DELAWARE,SE,10516,10251,265,90218
ELK,NW,64,49,15,2175
ERIE,NW,1370,1167,203,23642
FAYETTE,SW,703,673,30,12805
FOREST,NW,14,11,3,655
FRANKLIN,SC,1550,1484,66,17120
FULTON,SC,36,34,2,1027
GREENE,SW,145,133,12,3615
HUNTINGDON,SC,377,366,11,4450
INDIANA,SW,445,412,33,7640
JEFFERSON,NW,98,72,26,2921
JUNIATA,SC,151,143,8,1933
LACKAWANNA,NE,2129,2065,64,25495
LANCASTER,SE,6919,6779,140,65113
LAWRENCE,NW,468,406,62,6780
LEBANON,SC,1742,1672,70,16317
LEHIGH,NE,5244,5174,70,50817
LUZERNE,NE,3818,3722,96,39104
LYCOMING,NC,538,507,31,11126
MERCER,NW,560,489,71,10083
MIFFLIN,SC,166,159,7,5520
MONROE,NE,1730,1686,44,19868
MONTGOMERY,SE,11189,11172,17,122969
MONTOUR,NC,139,122,17,7355
NORTHAMPTON,NE,4134,4008,126,47310
NORTHUMBERLAND,NC,732,679,53,9279
PERRY,SC,178,160,18,3382
PHILADELPHIA,SE,29526,29518,8,231947
PIKE,NE,543,518,25,5538
POTTER,NC,25,22,3,980
SCHUYLKILL,SE,995,962,33,15916
SNYDER,NC,170,147,23,2852
SOMERSET,SW,174,154,20,8590
SULLIVAN,NC,10,5,5,390
SUSQUEHANNA,NE,274,267,7,3769
TIOGA,NC,48,39,9,2766
UNION,NC,397,376,21,8759
VENANGO,NW,72,56,16,4142
WARREN,NW,34,23,11,3086
WASHINGTON,SW,1108,1053,55,21336
WAYNE,NE,181,174,7,5214
WESTMORELAND,SW,1851,1790,61,37895
WYOMING,NE,68,65,3,2383
