County,Region,Cases,Confirmed,Probable,PersonsWithNegativePCR
ADAMS,SC,706,687,19,13519
ALLEGHENY,SW,10709,10345,364,152478
ARMSTRONG,SW,349,346,3,5602
BEAVER,SW,1702,1655,47,17283
BEDFORD,SC,177,157,20,3828
BERKS,SE,6261,6083,178,41999
BLAIR,SC,493,475,18,14081
BRADFORD,NC,102,95,7,6450
BUCKS,SE,8003,7398,605,81774
BUTLER,SW,864,785,79,18744
CAMBRIA,SW,492,440,52,20402
CAMERON,NW,8,8,0,392
CARBON,NE,429,425,4,8221
CENTRE,NC,652,605,47,16556
CHESTER,SE,5835,5589,246,68469
CLARION,NW,100,90,10,2758
CLEARFIELD,NW,243,193,50,5953
CLINTON,NC,156,140,16,3614
COLUMBIA,NC,776,744,32,6665
CRAWFORD,NW,222,195,27,7112
CUMBERLAND,SC,1596,1509,87,24817
DAUPHIN,SC,3429,3340,89,37003
DELAWARE,SE,10581,10313,268,91497
ELK,NW,64,49,15,2192
ERIE,NW,1387,1184,203,24080
FAYETTE,SW,708,678,30,12936
FOREST,NW,14,11,3,656
FRANKLIN,SC,1572,1506,66,17372
FULTON,SC,39,37,2,1035
GREENE,SW,146,134,12,3644
HUNTINGDON,SC,383,372,11,4505
INDIANA,SW,457,425,32,7707
JEFFERSON,NW,99,73,26,2950
JUNIATA,SC,151,143,8,1945
LACKAWANNA,NE,2176,2110,66,26229
LANCASTER,SE,7002,6861,141,65871
LAWRENCE,NW,474,413,61,6845
LEBANON,SC,1763,1692,71,16515
LEHIGH,NE,5272,5202,70,51592
LUZERNE,NE,3867,3769,98,39693
LYCOMING,NC,556,525,31,11275
MCKEAN,NW,41,30,11,3827
MERCER,NW,574,500,74,10180
MIFFLIN,SC,171,164,7,5596
MONROE,NE,1735,1691,44,20148
MONTGOMERY,SE,11300,11283,17,124929
MONTOUR,NC,143,126,17,7392
NORTHAMPTON,NE,4152,4026,126,47892
NORTHUMBERLAND,NC,760,706,54,9634
PERRY,SC,178,160,18,3423
PHILADELPHIA,SE,29776,29768,8,235843
PIKE,NE,544,519,25,5598
POTTER,NC,25,22,3,987
SCHUYLKILL,SE,1007,974,33,16154
SNYDER,NC,177,152,25,2902
SOMERSET,SW,181,159,22,8647
SULLIVAN,NC,10,5,5,398
SUSQUEHANNA,NE,280,271,9,3828
TIOGA,NC,48,39,9,2809
UNION,NC,407,387,20,8885
VENANGO,NW,72,56,16,4172
WARREN,NW,36,27,9,3110
WASHINGTON,SW,1128,1072,56,21551
WAYNE,NE,188,179,9,5285
WESTMORELAND,SW,1868,1803,65,38269
WYOMING,NE,70,67,3,2435
YORK,SC,3739,3656,83,48928
