County,Region,Cases,Confirmed,Probable,PersonsWithNegativePCR
ADAMS,SC,574,556,18,10286
ALLEGHENY,SW,9990,9681,309,140234
ARMSTRONG,SW,291,290,1,5077
BEAVER,SW,1515,1473,42,15712
BEDFORD,SC,161,144,17,3473
BERKS,SE,5889,5711,178,38088
BLAIR,SC,414,396,18,13066
BRADFORD,NC,96,89,7,6143
BUCKS,SE,7623,7020,603,74709
BUTLER,SW,750,688,62,17220
CAMBRIA,SW,439,400,39,18925
CAMERON,NW,8,8,0,379
CARBON,NE,416,412,4,7732
CENTRE,NC,427,381,46,11940
CHESTER,SE,5481,5248,233,61374
CLARION,NW,96,87,9,2610
CLEARFIELD,NW,212,168,44,5130
CLINTON,NC,130,115,15,3192
COLUMBIA,NC,532,502,30,6009
CRAWFORD,NW,192,167,25,5934
CUMBERLAND,SC,1469,1385,84,22503
DAUPHIN,SC,3179,3097,82,33308
DELAWARE,SE,10109,9848,261,82697
ELK,NW,64,49,15,2086
ERIE,NW,1305,1121,184,22031
FAYETTE,SW,663,636,27,11894
FOREST,NW,13,10,3,591
FRANKLIN,SC,1483,1420,63,15881
FULTON,SC,34,32,2,950
GREENE,SW,135,124,11,3387
HUNTINGDON,SC,350,340,10,3622
INDIANA,SW,404,378,26,7218
JEFFERSON,NW,94,69,25,2774
JUNIATA,SC,143,136,7,1724
LACKAWANNA,NE,2002,1941,61,22641
LANCASTER,SE,6518,6389,129,60367
LAWRENCE,NW,443,388,55,6414
LEBANON,SC,1681,1610,71,15102
LEHIGH,NE,5135,5067,68,47529
LUZERNE,NE,3712,3618,94,36831
LYCOMING,NC,492,466,26,10335
MCKEAN,NW,35,26,9,3662
MERCER,NW,534,467,67,9560
MIFFLIN,SC,141,135,6,5093
MONROE,NE,1701,1658,43,18935
MONTGOMERY,SE,10784,10768,16,113968
MONTOUR,NC,124,108,16,7147
NORTHAMPTON,NE,4068,3944,124,44052
NORTHUMBERLAND,NC,638,590,48,8216
PERRY,SC,162,147,15,3134
PHILADELPHIA,SE,28460,28452,8,214373
PIKE,NE,535,510,25,5273
POTTER,NC,24,21,3,941
SCHUYLKILL,SE,975,942,33,14915
SNYDER,NC,144,123,21,2585
SOMERSET,SW,157,140,17,7775
SULLIVAN,NC,10,5,5,364
SUSQUEHANNA,NE,249,242,7,3482
TIOGA,NC,46,36,10,2575
UNION,NC,359,341,18,8306
VENANGO,NW,70,55,15,3949
WARREN,NW,26,20,6,2644
WASHINGTON,SW,983,937,46,19603
WAYNE,NE,175,168,7,4864
WESTMORELAND,SW,1748,1696,52,35926
WYOMING,NE,65,62,3,2195
YORK,SC,3158,3097,61,44515
