County,Region,Cases,Confirmed,Probable,PersonsWithNegativePCR
ADAMS,SC,632,614,18,12579
ALLEGHENY,SW,10211,9889,322,145460
ARMSTRONG,SW,312,308,4,5339
BEAVER,SW,1597,1551,46,16368
BEDFORD,SC,168,149,19,3611
BERKS,SE,6012,5836,176,39563
BLAIR,SC,443,425,18,13537
BRADFORD,NC,99,92,7,6296
BUCKS,SE,7744,7140,604,77371
BUTLER,SW,778,713,65,17822
CAMBRIA,SW,457,412,45,19575
CAMERON,NW,8,8,0,388
CARBON,NE,420,416,4,7919
CENTRE,NC,462,416,46,13441
CHESTER,SE,5589,5355,234,63908
CLARION,NW,98,89,9,2672
CLEARFIELD,NW,226,177,49,5435
CLINTON,NC,133,118,15,3458
COLUMBIA,NC,598,567,31,6261
CRAWFORD,NW,209,180,29,6199
CUMBERLAND,SC,1516,1432,84,23261
DAUPHIN,SC,3274,3186,88,34848
DELAWARE,SE,10281,10018,263,86054
ELK,NW,64,49,15,2137
ERIE,NW,1345,1150,195,22981
FAYETTE,SW,683,655,28,12375
FOREST,NW,14,11,3,634
FRANKLIN,SC,1504,1441,63,16430
GREENE,SW,138,127,11,3508
HUNTINGDON,SC,360,349,11,3973
INDIANA,SW,419,393,26,7441
JEFFERSON,NW,97,72,25,2843
JUNIATA,SC,149,141,8,1839
LACKAWANNA,NE,2061,2000,61,24111
LANCASTER,SE,6660,6530,130,62443
LAWRENCE,NW,454,394,60,6601
LEBANON,SC,1717,1646,71,15656
LEHIGH,NE,5184,5115,69,49561
LUZERNE,NE,3768,3672,96,37986
LYCOMING,NC,508,479,29,10747
MCKEAN,NW,37,28,9,3718
MERCER,NW,543,476,67,9868
MIFFLIN,SC,159,152,7,5312
MONROE,NE,1713,1669,44,19374
MONTGOMERY,SE,10947,10931,16,118149
MONTOUR,NC,129,113,16,7250
NORTHAMPTON,NE,4112,3987,125,45885
NORTHUMBERLAND,NC,668,618,50,8762
PERRY,SC,174,156,18,3234
PHILADELPHIA,SE,28880,28872,8,222707
PIKE,NE,542,517,25,5395
POTTER,NC,24,21,3,955
SCHUYLKILL,SE,988,955,33,15501
SNYDER,NC,160,137,23,2745
SOMERSET,SW,164,145,19,8116
SULLIVAN,NC,10,5,5,378
SUSQUEHANNA,NE,264,257,7,3606
TIOGA,NC,48,38,10,2681
UNION,NC,367,348,19,8503
WARREN,NW,27,21,6,3031
WASHINGTON,SW,1036,988,48,20617
WAYNE,NE,177,170,7,5067
WESTMORELAND,SW,1802,1747,55,37083
WYOMING,NE,66,63,3,2276
