County,Region,Cases,Confirmed,Probable,PersonsWithNegativePCR
ADAMS,SC,642,624,18,13044
ALLEGHENY,SW,10347,10023,324,147262
ARMSTRONG,SW,314,309,5,5403
BEAVER,SW,1611,1564,47,16701
BEDFORD,SC,170,150,20,3679
BERKS,SE,6056,5878,178,40053
BLAIR,SC,461,443,18,13618
BRADFORD,NC,99,92,7,6340
BUCKS,SE,7805,7201,604,78419
BUTLER,SW,785,720,65,17972
CAMBRIA,SW,461,416,45,19850
CAMERON,NW,8,8,0,389
CARBON,NE,422,418,4,7959
CENTRE,NC,486,440,46,13778
CHESTER,SE,5629,5395,234,65233
CLARION,NW,98,89,9,2701
CLEARFIELD,NW,227,177,50,5492
CLINTON,NC,136,120,16,3501
COLUMBIA,NC,665,633,32,6367
CRAWFORD,NW,214,185,29,6233
CUMBERLAND,SC,1533,1449,84,23678
DAUPHIN,SC,3329,3239,90,35402
DELAWARE,SE,10357,10094,263,87435
ELK,NW,64,49,15,2146
ERIE,NW,1349,1152,197,23087
FAYETTE,SW,692,663,29,12539
FOREST,NW,14,11,3,641
FRANKLIN,SC,1514,1451,63,16661
FULTON,SC,34,32,2,992
GREENE,SW,140,129,11,3544
HUNTINGDON,SC,364,353,11,4091
INDIANA,SW,427,396,31,7491
JEFFERSON,NW,97,72,25,2884
JUNIATA,SC,150,142,8,1893
LACKAWANNA,NE,2085,2022,63,24672
LANCASTER,SE,6731,6599,132,63340
LAWRENCE,NW,459,400,59,6673
LEBANON,SC,1728,1657,71,15856
LEHIGH,NE,5204,5135,69,50080
LUZERNE,NE,3778,3682,96,38349
LYCOMING,NC,522,491,31,10887
MCKEAN,NW,37,28,9,3760
MERCER,NW,546,479,67,9964
MIFFLIN,SC,161,154,7,5401
MONROE,NE,1714,1669,45,19491
MONTGOMERY,SE,11035,11019,16,119758
MONTOUR,NC,132,115,17,7322
NORTHAMPTON,NE,4117,3991,126,46283
NORTHUMBERLAND,NC,681,629,52,8921
PERRY,SC,176,158,18,3278
PHILADELPHIA,SE,29057,29049,8,225427
PIKE,NE,542,517,25,5453
POTTER,NC,25,22,3,960
SCHUYLKILL,SE,987,954,33,15650
SNYDER,NC,164,141,23,2762
SOMERSET,SW,165,146,19,8233
SULLIVAN,NC,10,5,5,383
SUSQUEHANNA,NE,267,260,7,3673
TIOGA,NC,49,40,9,2735
UNION,NC,377,358,19,8617
VENANGO,NW,70,55,15,4094
WARREN,NW,27,21,6,3043
WASHINGTON,SW,1054,1003,51,20916
WAYNE,NE,175,168,7,5122
WESTMORELAND,SW,1815,1758,57,37376
WYOMING,NE,67,64,3,2320
YORK,SC,3368,3305,63,46918
