County,Region,Cases,Confirmed,Probable,PersonsWithNegativePCR
ADAMS,SC,721,701,20,13862
ALLEGHENY,SW,10969,10594,375,155592
ARMSTRONG,SW,370,366,4,5940
BEAVER,SW,1731,1681,50,17740
BEDFORD,SC,191,166,25,3934
BERKS,SE,6412,6233,179,43549
BLAIR,SC,506,488,18,14627
BRADFORD,NC,103,96,7,6593
BUCKS,SE,8148,7544,604,84293
BUTLER,SW,913,831,82,19696
CAMBRIA,SW,513,456,57,20907
CAMERON,NW,8,8,0,403
CARBON,NE,431,427,4,8368
CENTRE,NC,925,877,48,18921
CHESTER,SE,6106,5863,243,70953
CLARION,NW,107,96,11,2806
CLEARFIELD,NW,265,215,50,6190
CLINTON,NC,165,148,17,3712
COLUMBIA,NC,824,790,34,6804
CRAWFORD,NW,241,212,29,7549
CUMBERLAND,SC,1638,1551,87,25544
DAUPHIN,SC,3508,3418,90,38336
DELAWARE,SE,10767,10499,268,94084
ELK,NW,65,50,15,2235
ERIE,NW,1407,1205,202,24668
FAYETTE,SW,728,696,32,13236
FOREST,NW,14,11,3,671
FRANKLIN,SC,1620,1553,67,17908
FULTON,SC,38,36,2,1061
GREENE,SW,153,140,13,3735
HUNTINGDON,SC,389,377,12,4702
INDIANA,SW,485,453,32,7922
JEFFERSON,NW,101,75,26,3030
JUNIATA,SC,160,151,9,1988
LACKAWANNA,NE,2225,2157,68,26905
LANCASTER,SE,7185,7035,150,68137
LAWRENCE,NW,480,416,64,6968
LEBANON,SC,1794,1723,71,17081
LEHIGH,NE,5329,5255,74,52919
LUZERNE,NE,3913,3815,98,40594
LYCOMING,NC,572,537,35,11531
MERCER,NW,617,544,73,10453
MIFFLIN,SC,177,170,7,5748
MONROE,NE,1750,1705,45,20629
MONTGOMERY,SE,11510,11491,19,128558
MONTOUR,NC,154,134,20,7450
NORTHAMPTON,NE,4196,4064,132,48859
NORTHUMBERLAND,NC,777,720,57,10067
PERRY,SC,184,166,18,3530
PHILADELPHIA,SE,30111,30103,8,244414
PIKE,NE,549,524,25,5712
POTTER,NC,25,22,3,1011
SCHUYLKILL,SE,1023,989,34,16804
SNYDER,NC,193,166,27,2960
SOMERSET,SW,190,164,26,8914
SULLIVAN,NC,10,5,5,412
SUSQUEHANNA,NE,284,275,9,3893
TIOGA,NC,50,41,9,2870
UNION,NC,416,396,20,9097
VENANGO,NW,74,57,17,4227
WARREN,NW,40,31,9,3154
WASHINGTON,SW,1163,1105,58,22487
WAYNE,NE,195,186,9,5409
WESTMORELAND,SW,1925,1858,67,39018
WYOMING,NE,71,68,3,2491
