County,Region,Cases,Confirmed,Probable,PersonsWithNegativePCR
ADAMS,SC,561,544,17,9912
ALLEGHENY,SW,9756,9454,302,136232
ARMSTRONG,SW,269,268,1,4906
BEAVER,SW,1485,1442,43,15256
BEDFORD,SC,159,142,17,3376
BERKS,SE,5743,5570,173,36606
BLAIR,SC,390,372,18,12684
BRADFORD,NC,94,87,7,5996
BUCKS,SE,7535,6934,601,72487
BUTLER,SW,740,681,59,16657
CAMBRIA,SW,416,379,37,18407
CAMERON,NW,8,8,0,374
CARBON,NE,411,407,4,7575
CENTRE,NC,410,365,45,11394
CHESTER,SE,5394,5163,231,58980
CLARION,NW,95,86,9,2555
CLEARFIELD,NW,205,163,42,4925
CLINTON,NC,129,114,15,3018
COLUMBIA,NC,505,475,30,5844
CRAWFORD,NW,181,156,25,5759
CUMBERLAND,SC,1424,1343,81,21752
DAUPHIN,SC,3073,2997,76,32300
DELAWARE,SE,9946,9693,253,79436
ELK,NW,63,49,14,2042
ERIE,NW,1271,1093,178,21402
FAYETTE,SW,653,631,22,11426
FOREST,NW,13,10,3,581
FRANKLIN,SC,1448,1385,63,15202
FULTON,SC,28,26,2,893
GREENE,SW,132,121,11,3322
HUNTINGDON,SC,346,336,10,3527
INDIANA,SW,388,367,21,7030
JEFFERSON,NW,83,60,23,2646
JUNIATA,SC,142,135,7,1671
LACKAWANNA,NE,1981,1920,61,22073
LANCASTER,SE,6393,6265,128,58334
LAWRENCE,NW,436,382,54,6182
LEBANON,SC,1663,1593,70,14642
LEHIGH,NE,5112,5044,68,46432
LUZERNE,NE,3666,3573,93,35992
LYCOMING,NC,467,441,26,10013
MERCER,NW,513,450,63,9312
MIFFLIN,SC,136,131,5,4971
MONROE,NE,1686,1643,43,18484
MONTGOMERY,SE,10607,10591,16,110270
MONTOUR,NC,122,106,16,7049
NORTHAMPTON,NE,4049,3926,123,43011
NORTHUMBERLAND,NC,602,555,47,8063
PERRY,SC,155,142,13,3043
PHILADELPHIA,SE,28052,28044,8,206708
PIKE,NE,532,507,25,5155
POTTER,NC,22,19,3,917
SCHUYLKILL,SE,963,930,33,14542
SNYDER,NC,134,115,19,2462
SOMERSET,SW,151,135,16,7585
SULLIVAN,NC,10,5,5,355
SUSQUEHANNA,NE,240,233,7,3346
TIOGA,NC,45,35,10,2486
UNION,NC,347,330,17,8042
VENANGO,NW,69,54,15,3883
WARREN,NW,26,20,6,2508
WASHINGTON,SW,956,912,44,19039
WAYNE,NE,169,162,7,4728
WESTMORELAND,SW,1696,1643,53,35088
WYOMING,NE,64,61,3,2143
