County,Region,Cases,Confirmed,Probable,PersonsWithNegativePCR
ADAMS,SC,715,695,20,13733
ALLEGHENY,SW,10847,10479,368,154206
ARMSTRONG,SW,353,350,3,5717
BEAVER,SW,1714,1667,47,17450
BEDFORD,SC,181,161,20,3879
BERKS,SE,6344,6165,179,42867
BLAIR,SC,498,480,18,14366
BRADFORD,NC,103,96,7,6544
BUCKS,SE,8093,7488,605,83194
BUTLER,SW,880,800,80,19068
CAMBRIA,SW,504,452,52,20693
CAMERON,NW,8,8,0,403
CARBON,NE,432,428,4,8295
CENTRE,NC,686,638,48,16886
CHESTER,SE,5997,5756,241,69982
CLARION,NW,102,91,11,2780
CLEARFIELD,NW,265,215,50,6111
CLINTON,NC,160,143,17,3681
COLUMBIA,NC,798,764,34,6740
CRAWFORD,NW,237,210,27,7499
CUMBERLAND,SC,1619,1532,87,25286
DAUPHIN,SC,3479,3390,89,37692
DELAWARE,SE,10692,10424,268,92918
ELK,NW,65,50,15,2226
ERIE,NW,1395,1193,202,24409
FAYETTE,SW,714,684,30,13100
FOREST,NW,14,11,3,669
FRANKLIN,SC,1583,1516,67,17555
FULTON,SC,38,36,2,1042
GREENE,SW,150,137,13,3701
HUNTINGDON,SC,388,377,11,4634
INDIANA,SW,472,440,32,7810
JEFFERSON,NW,100,74,26,2987
JUNIATA,SC,157,149,8,1965
LACKAWANNA,NE,2210,2143,67,26671
LANCASTER,SE,7108,6961,147,67242
LAWRENCE,NW,474,414,60,6901
LEBANON,SC,1783,1711,72,16889
LEHIGH,NE,5307,5234,73,52418
LUZERNE,NE,3898,3800,98,40178
LYCOMING,NC,563,531,32,11411
MERCER,NW,607,534,73,10363
MIFFLIN,SC,175,168,7,5701
MONROE,NE,1742,1698,44,20414
MONTGOMERY,SE,11434,11417,17,127064
MONTOUR,NC,150,133,17,7424
NORTHAMPTON,NE,4176,4047,129,48455
NORTHUMBERLAND,NC,767,711,56,9954
PERRY,SC,183,165,18,3471
PHILADELPHIA,SE,29978,29970,8,239803
PIKE,NE,547,522,25,5650
POTTER,NC,25,22,3,998
SCHUYLKILL,SE,1019,985,34,16386
SNYDER,NC,186,159,27,2952
SOMERSET,SW,183,161,22,8736
SULLIVAN,NC,10,5,5,403
SUSQUEHANNA,NE,281,272,9,3855
TIOGA,NC,50,40,10,2846
UNION,NC,414,394,20,8994
VENANGO,NW,74,57,17,4185
WARREN,NW,37,28,9,3133
WASHINGTON,SW,1150,1093,57,21881
WAYNE,NE,195,186,9,5364
WESTMORELAND,SW,1907,1841,66,38677
WYOMING,NE,70,67,3,2459
